Subject,Sex,Sequence,Condition1,Condition2,Measurement
0001,M,DDRDBDD,afternoon,sitting,1
0001,M,DDRDBDD,afternoon,supine,1
0001,M,DDRDBDD,morning,supine,2
0001,M,DDRDBDD,morning,sitting,2
0002,F,DDRDBDD,afternoon,supine,1
0002,F,DRDBDDD,afternoon,sitting,1
0002,F,DDDRDBD,morning,sitting,2
0002,F,DRDBDDD,morning,supine,2
0003,M,DDRDBDD,morning,sitting,1
0003,M,DRDBDDD,morning,supine,1
0003,M,DRDBDDD,afternoon,supine,2
0003,M,DDDRDBD,afternoon,sitting,2
0004,F,DDDRDBD,morning,supine,1
0004,F,DRDBDDD,morning,sitting,1
0004,F,DRDBDDD,afternoon,sitting,2
0004,F,DRDBDDD,afternoon,supine,2
0005,M,DDDRDBD,afternoon,sitting,1
0005,M,DDDRDBD,afternoon,supine,1
0005,M,DRDBDDD,morning,supine,2
0005,M,DDDRDBD,morning,sitting,2
0006,F,DDRDBDD,morning,sitting,1
0006,F,DDDRDBD,morning,supine,1
0006,F,DDDRDBD,afternoon,supine,2
0006,F,DDRDBDD,afternoon,sitting,2
0007,M,DDDRDBD,morning,sitting,1
0007,M,DDDRDBD,morning,supine,1
0007,M,DRDBDDD,afternoon,supine,2
0007,M,DDDRDBD,afternoon,sitting,2
0008,F,DDDRDBD,afternoon,sitting,1
0008,F,DDRDBDD,afternoon,supine,1
0008,F,DDRDBDD,morning,supine,2
0008,F,DDRDBDD,morning,sitting,2
0009,M,DDRDBDD,afternoon,supine,1
0009,M,DDRDBDD,afternoon,sitting,1
0009,M,DRDBDDD,morning,sitting,2
0009,M,DDRDBDD,morning,supine,2
0010,F,DDDRDBD,afternoon,supine,1
0010,F,DRDBDDD,afternoon,sitting,1
0010,F,DRDBDDD,morning,sitting,2
0010,F,DDDRDBD,morning,supine,2
0011,M,DRDBDDD,morning,supine,1
0011,M,DDDRDBD,morning,sitting,1
0011,M,DRDBDDD,afternoon,sitting,2
0011,M,DRDBDDD,afternoon,supine,2
0012,F,DDRDBDD,morning,supine,1
0012,F,DDDRDBD,morning,sitting,1
0012,F,DDRDBDD,afternoon,sitting,2
0012,F,DRDBDDD,afternoon,supine,2
